email,imie,nazwisko,nr tel,typ urzadzenia,nr seryjny,opis usterki,,,,,,
janek@mail.com,Jan,Pawlowski,501501501,Laptop,C02FDG067WHV341,,,,,,,Laptop
franek@mail.com,Franciszek,Szelag,502502502,Telefon,F01HT12HXV02,,,,,,,Telefon
zenek@mail.com,Zenon,Abramowski,503503503,sluchawki,nieczytelny,,,,,,,sluchawki
heniek@mail.com,Henryk,Kowal,123123123,Laptop,C02FDG063WJB319,,,,,,,inne
user@op.pl,John,Doe,508123321,Telefon,F01JF94HYJU71,,,,,,,
typowyuser@wp.pl,Jan,Kowalski,882021034,Telefon,F01JU88TUZ07,,,,,,,
zuza123@icloud.com,Zuzanna,Andrzejewska,820123543,Laptop,C02FBG021WGH341,,,,,,,
andrzej.madras@gmail.com,Andrzej,Madras,604322986,inne,--,,,,,,,
paula.kulkowska@o2.pl,Paula,Kulkowska,722019537,Laptop,C02FHY729GTB722,,,,,,,
patryk.malecki@hotmail.com,Patryk,Malecki,508643634,sluchawki,W5X028ERT876,,,,,,,
